 	Identifier	Ratio	C1	C2	Area
1	0	1.377	2746.773	3782.365	0
2	1	1.250	2590.148	3236.540	0
3	2	0.996	4083.333	4068.333	0
4	3	1.236	3225.155	3987.110	0
5	4	1	4095	4095	0
6	5	0.967	4014.288	3883.564	0
7	6	1.142	2297.134	2622.613	0
8	7	0.973	4046.337	3937.141	0
9	8	1.025	3354.933	3437.916	0
10	9	1.313	2702.833	3547.500	0
11	10	NaN	2684.660	NaN	0
12	10	1.408	2064.836	2908.043	0
13	11	1.756	1581.396	2776.857	0
14	12	1.054	3473.441	3659.968	0
15	13	1.474	2178.334	3211.469	0
16	14	1.528	2011.873	3074.178	0
17	15	0.999	3510.525	3506.846	0
18	16	1.121	3349.105	3754.056	0
19	18	1.066	3032.432	3233.049	1.260
20	19	0.904	3622.904	3274.446	0
21	20	1.009	3506.167	3538.167	0
22	21	1.000	3503.668	3503.247	0
23	22	1.000	4095	4094.656	0
24	23	0.979	3763.712	3683.247	0
25	24	1.064	3720.429	3959.086	0
26	25	1.365	2781.437	3796.480	0
27	26	1.069	2655.992	2839.429	0
28	27	0.993	4085.663	4057.278	0
29	28	0.984	2813.852	2769.654	0
30	29	1.269	2912.552	3696.882	0
31	30	1.005	3785.396	3806.109	0
32	31	2.033	1857.667	3777	0
33	32	1.919	2121.960	4072.345	0
34	33	1.359	2251.628	3059.731	0
35	34	1	4095	4095	0
36	35	0.998	4094.918	4085.333	0
37	36	0.975	3984.658	3886.395	0
38	37	1.719	2378.715	4088.373	0
39	38	2.481	1181.937	2932.528	0
40	39	0.998	4095	4085.531	0
41	40	0.992	4078.920	4045.485	0
42	41	1.345	2913.738	3919.917	0
43	42	1.246	2936.675	3658.837	0
44	43	1.174	2493.309	2928.314	0
45	44	1.074	3573.033	3837.123	0
46	45	0.949	4088.872	3880.264	0
47	46	1.470	2643.983	3886.256	0
48	47	0.980	4085.591	4005.583	0
49	48	1	4095	4095	0
50	49	1.840	1585.149	2917.130	0
51	50	1.828	1500.933	2744.163	0
52	51	1.344	2787.526	3746.769	0
53	52	2.511	1609.187	4040.873	0
54	53	0.920	3881.500	3569.833	0
55	54	0.981	3615.478	3548.182	0
56	55	1.073	3816.571	4095	0
57	56	1.275	2873.476	3662.489	0
58	57	1.383	2829.077	3911.715	0
59	58	0.914	3665.031	3350.536	0
60	59	0.996	4095	4079.016	0
61	60	0.989	2981.615	2947.896	0
62	61	1.198	3026.927	3626.211	0
63	62	0.972	3291.196	3199.591	0
64	63	1	4095	4095	0
65	65	1.331	2696.186	3588.377	0
66	66	0.994	4092.329	4068.719	0
67	67	1.004	4060.403	4077.935	0
68	68	0.984	3983.153	3920.600	0
69	69	0.902	3272.283	2950.133	0
70	70	0.996	4094.358	4076.492	0
71	71	1.297	2712.752	3517.280	0
72	72	1.113	2816.540	3135.851	0
73	73	1.544	2421.414	3737.655	0
74	74	0.976	3901.492	3806.463	0
75	75	0.950	3714.313	3528.075	0
76	76	1.006	4049.696	4074.646	0
77	77	1.628	2041.680	3324.713	0
78	78	0.838	3286.176	2753.799	0
79	79	1	4095	4095	0
80	80	0.906	3347.554	3033.542	0
81	81	0.987	4095	4042.657	0
82	82	0.995	3270.300	3252.471	0
83	83	0.870	3937.278	3423.973	0
84	84	0.937	4029	3776.833	0
85	85	1.636	1788.167	2925.167	0
86	86	1.557	2202.009	3428.918	0
87	87	0.998	4085.687	4075.930	0
88	88	1.282	2212.833	2836.667	0
89	89	0.840	3773.622	3169.339	0
90	90	0.876	3443.494	3015.251	0
91	91	1.811	1149.147	2080.706	0
92	92	0.996	4076.857	4060.299	0
93	93	0.918	3227.569	2962.067	0
94	94	0.915	3751.285	3431.344	0
95	95	1.220	2910.230	3549.124	0
96	96	1.096	3535.250	3873.750	0
97	97	2.155	1898.116	4089.811	0
98	98	1.648	2070.333	3411.667	0
99	99	1.035	3714.963	3843.267	0
100	100	0.938	4028.899	3779.756	0
101	101	0.951	4068.780	3870.333	0
102	102	1	4095	4095	0
103	103	1.136	3603.152	4092.995	0
104	104	1.134	3582.807	4062.822	0
