 	Identifier	Ratio	C1	C2
1	0	1.706	2124.444	3625.010
2	1	2.609	1387.767	3621.210
3	2	1.123	3230.563	3627.153
4	3	0.646	4079.475	2634.161
5	4	0.701	4074.588	2857.250
6	5	0.578	3175.584	1834.817
7	6	1.069	3455.967	3692.995
8	7	NaN	2321.728	NaN
9	7	1.700	2234.601	3798.181
10	8	0.768	4095	3144.925
11	9	0.668	4095	2737.167
12	10	1.008	2271.209	2289.003
13	11	1.032	2892.871	2986.267
14	12	1.058	2592.182	2743.038
15	13	2.130	1378.633	2936.561
16	14	1.101	3277.400	3607.461
17	15	1.415	2453.212	3470.948
18	16	1.148	3159.710	3628.793
19	17	2.654	1468.456	3896.805
20	18	2.418	1521.931	3680.557
21	19	0.886	3449.058	3057.542
22	20	0.783	4095	3207
23	21	0.966	4094.990	3957.157
24	22	0.913	4095	3738.461
25	24	0.641	4026.421	2580.257
26	25	1.597	1443.348	2305.438
27	26	0.710	3886.431	2758.276
28	27	1.077	3097.558	3335.763
29	28	2.237	1123.272	2513.217
30	29	NaN	4095	NaN
31	29	0.726	4095	2973.231
32	30	0.728	4093.954	2981.019
33	31	0.832	4091.760	3405.594
34	32	1.074	2579.237	2770.089
35	33	2.183	1378.918	3010.477
36	34	0.870	4095	3564.274
37	35	0.626	4028.060	2522.158
38	36	1.121	2917.063	3270.627
39	37	1.054	3121.329	3288.454
40	38	1.122	2523.620	2830.356
41	39	0.609	3185.483	1938.929
42	40	2.384	1329.667	3170.261
43	41	1.115	3389.606	3779.107
44	42	1.002	3876.163	3883.825
45	43	0.576	4073.445	2348.202
46	44	2.149	1276.246	2742.885
47	45	1.063	3151.688	3348.874
48	46	2.872	1046.701	3006.179
49	47	0.980	4086.122	4003.943
50	48	0.592	4082	2416.500
51	49	0.536	3602.208	1930.840
52	50	1.384	2676.058	3704.196
53	51	1.027	2702.150	2775.931
54	52	0.815	3617.699	2947.822
55	53	0.786	4095	3216.954
56	54	1.043	3905.976	4075.221
57	55	0.841	4095	3444.167
58	56	1.088	3508.741	3816.050
59	57	1.061	3294.401	3496.969
60	58	0.810	3515.857	2847.970
61	59	0.589	4011.841	2363.717
62	60	2.370	1309	3102.500
63	61	1.761	1859.349	3273.996
64	62	1.654	1777.170	2938.748
65	63	1.370	2192.154	3002.255
66	64	2.333	1261.779	2944.099
67	65	1.472	2602.833	3831.333
68	66	0.997	4095	4081.454
69	67	1.173	2921.680	3428.462
70	68	2.582	850.004	2194.326
71	69	0.574	3390.882	1944.758
72	70	1.076	2204.312	2371.152
73	71	0.861	4095	3523.877
74	72	1.031	3721.388	3835.340
75	73	0.630	3871.583	2440.078
76	74	0.692	4090.776	2829.621
77	75	2.287	1761.422	4027.516
78	76	0.876	4089.599	3581.159
79	77	0.998	3217.471	3212.378
80	78	0.801	4058.727	3249.166
81	79	1.015	3722.772	3780.214
82	80	1.393	2429.701	3385.056
83	81	0.682	4092.059	2789.039
84	82	0.689	4091.322	2818.517
85	83	0.991	3817.226	3784.086
86	84	2.492	1338.743	3336.402
87	85	1.144	2684.884	3070.815
88	86	1.755	1704.587	2990.843
89	87	1.485	2343.310	3479.346
90	89	1.179	2517.847	2968.805
91	90	1.211	3104.181	3759.558
92	91	1.175	2968.981	3489.376
93	92	1.319	2667.952	3518.117
94	93	1.042	3454.698	3599.059
95	94	1.021	2532.091	2586.440
96	95	0.715	4069.500	2909.167
97	96	1.143	2838.886	3245.965
98	97	0.757	4028.894	3049.199
99	98	1.076	2992.932	3221.309
100	99	0.996	3529.050	3513.536
101	100	1.020	3869.810	3945.954
102	101	1.125	2409.055	2710.307
103	102	1.487	2248.616	3344.520
