 	Identifier	Ratio	C1	C2
1	0	0.858	3400.697	2918.892
2	1	1.780	1439.791	2563.440
3	2	2.618	1235.066	3233.770
4	3	1.029	3296.264	3393.232
5	4	2.702	976.130	2637.350
6	5	2.798	1342.758	3757.237
7	6	1.232	2395.076	2951.576
8	7	2.755	1444.121	3978.786
9	8	0.805	4095	3298.250
10	9	2.189	1128.455	2470.255
11	10	1.087	3012.167	3273.526
12	11	1.053	3027.091	3186.850
13	12	2.341	1691.767	3960.843
14	13	1.849	1939.929	3587.654
15	14	2.176	1539.105	3349.062
16	16	2.141	1288.470	2757.992
17	17	1.468	1790.167	2628.333
18	18	1.017	3284.919	3340.364
19	19	1.124	2932.090	3295.499
20	20	1.989	1417.551	2819.760
21	21	0.571	3815.611	2179.433
22	22	1.050	3572.388	3749.710
23	23	1.229	2873.473	3530.306
24	24	0.919	4095	3763.374
25	25	1.020	3982.179	4062.610
26	26	2.318	1537.561	3563.402
27	27	2.547	1313.746	3346.437
28	28	0.842	4092.233	3447.283
29	29	0.890	2379.195	2118.556
30	30	0.649	4032.774	2617.651
31	31	2.133	1725.267	3679.930
32	32	2.581	1468.667	3790.167
33	33	0.854	4095	3495.238
34	34	0.598	4080.517	2440.713
35	35	1.060	3792.781	4019.325
36	36	0.977	3146.556	3073.457
37	37	0.752	4095	3077.465
38	38	3.000	1002.160	3006.540
39	39	0.774	2725.145	2108.674
40	40	1.489	2296.842	3418.910
41	41	0.789	4095	3231.667
42	42	0.732	4081.073	2987.884
43	43	1.109	2581.308	2863.385
44	44	1.050	3476.404	3651.870
45	45	1.309	2349.375	3074.733
46	46	1.042	3787.496	3945.023
47	47	1.026	3944.620	4047.225
48	48	2.700	1198.207	3234.757
49	49	1.064	3125.657	3325.372
50	50	0.674	3415.091	2300.347
51	51	1.814	1506.944	2733.419
52	52	2.891	1164.100	3364.975
53	53	1.100	3259.781	3584.558
54	54	1.104	3470.548	3831.319
55	55	0.795	4082.962	3246.630
56	56	0.672	4095	2752.167
57	57	1.683	1548.353	2606.263
58	58	1.849	1491.667	2757.667
59	59	2.013	2011.519	4048.752
60	60	0.882	4095	3613.677
61	61	1.383	1437.553	1987.888
62	62	2.020	1931.520	3901.429
63	63	1.131	3300.167	3733.333
64	64	0.800	4095	3277.780
65	65	1.127	2632.555	2967.776
66	66	1.040	3575.371	3717.207
67	67	0.748	4023.163	3010.479
68	68	0.661	4018.684	2655.407
69	69	0.692	4095	2833.442
70	70	1.338	2221.019	2971.283
71	71	3.125	1069.588	3342.138
72	72	1.072	3265.446	3501.245
73	73	1.042	3819.627	3981.658
74	74	1.031	3777	3894.250
75	75	0.750	4095	3069.232
76	76	0.804	4095	3290.462
77	77	0.998	3602.989	3594.453
78	78	0.652	3837.021	2501.715
79	79	0.996	2929.860	2916.803
80	80	0.744	4095	3045.333
81	81	1.034	3884.691	4016.891
82	82	1.006	2935.027	2953.460
83	83	0.979	2928.625	2866.395
84	84	0.969	3368.366	3265.152
85	85	0.752	4095	3077.544
86	86	0.624	4045.713	2525.946
87	87	0.645	4095	2642
88	88	0.554	3324.918	1842.970
89	89	2.229	1540.643	3434.236
90	90	0.931	4095	3814.032
91	91	2.762	1309.341	3615.895
92	92	1.218	2293.809	2793.840
93	93	0.709	4093.702	2904.131
94	94	0.760	3651.636	2774.367
