Date Plate Well Type Inhibitor Concentration Cell Buffer Inside Ratio Area well converted.2 type
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.981 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.062 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.864 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.872 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.962 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.075 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.176 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.583 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.978 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.751 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.546 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.839 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.979 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.277 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.868 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.876 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.132 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.885 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.448 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.936 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.539 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.869 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.977 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.963 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.472 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.564 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.566 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.416 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.947 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.929 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.697 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.625 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.045 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.832 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.131 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.162 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 2.085 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.024 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 0.996 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.664 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.268 NA 1 1 normal
20/03/2013 1 1 HV1 control NA ? Bicarbonate Candida 1.883 NA 1 1 normal
